Campaign;Account;Campaign ID;Impr.;Clicks;CTR;Avg. CPM;Avg. CPC;TrueView views;TrueView avg. CPV;Cost_Original;Conversions;Conv. rate;Cost / conv.;Cost;YouTube_Ad_Formats;Target_Countries;Number_of_Countries;Has_Demographics;Demographics_Segments_Count;Demographics_Label;Has_Interests;Interest_Segments_Count;Interests_Label;Start_Date;End_Date;Peak_Reach;Active_Quarters;Cost_Original_Global;Campaign bid strategy type;Target;Brand;Ad_Format;Date_Range;Bid_Strategy_Short;Goal;Standardized_Campaign_Name
McDonald's Maestro II April - June 2025 (YT) - CPV;McDonald's EUR;22455850267;1,440,054;1,823;0.13%;3.47;2.74;897,319;0.01;4998.66;1,208.00;0.12%;4.14;4998.66;Skippable in-stream;Croatia;1;True;21;Available;True;20;Available;21 Apr 2025;8 Jun 2025;612527;Q2;4998.66;Maximum CPV;65+ | All;McDonald's;YouTube In-Stream;Apr-Jun 25;Maximum CPV;Consideration;McDonald's | YouTube In-Stream | 65+ | All | Apr-Jun 25 | Maximum CPV | Consideration
McDonald's 1+1 January 2025 (YT) - CPV;McDonald's EUR;22101473486;1,844,138;2,518;0.14%;2.17;1.59;1,009,638;0.0;3999.3;1,699.28;0.15%;2.35;3999.3;Skippable in-stream;Croatia;1;True;21;Available;True;19;Available;7 Jan 2025;31 Jan 2025;765520;Q1;3999.3;Maximum CPV;65+ | All;McDonald's;YouTube In-Stream;Jan 25;Maximum CPV;Consideration;McDonald's | YouTube In-Stream | 65+ | All | Jan 25 | Maximum CPV | Consideration
McDonald's 1+1 May-Aug 2025 (YT) - CPV;McDonald's EUR;22577682633;1,682,772;1,683;0.10%;2.97;2.97;1,174,634;0.0;5001.46;794.76;0.06%;6.29;5001.46;Skippable in-stream;Croatia;1;True;21;Available;True;19;Available;26 May 2025;30 Aug 2025;570986;Q2, Q3;5001.46;Maximum CPV;65+ | All;McDonald's;YouTube In-Stream;May-Aug 25;Maximum CPV;Consideration;McDonald's | YouTube In-Stream | 65+ | All | May-Aug 25 | Maximum CPV | Consideration
McDonald's Snack Menu AO III December 2025 (YT) - Bumper;McDonald's EUR;23330173406;857,110;399;0.05%;0.93;2.0;2,336;0.03;799.88;79.75;2.59%;10.03;799.88;Bumper, In-feed;Croatia;1;True;21;Available;True;17;Available;8 Dec 2025;28 Dec 2025;520978;Q4;799.88;Target CPM;65+ | All;McDonald's;YouTube Bumper;Dec 25;tCPM;Awareness;McDonald's | YouTube Bumper | 65+ | All | Dec 25 | tCPM | Awareness
McDonald's Breakfast AO Jan - Mar 2025 (YT) - CPV;McDonald's EUR;22099305524;807,626;710;0.09%;2.48;2.82;455,053;0.0;1999.8;469.73;0.09%;4.26;1999.8;Skippable in-stream;Croatia;1;True;21;Available;True;19;Available;6 Jan 2025;31 Mar 2025;422989;Q1;1999.8;Maximum CPV;65+ | All;McDonald's;YouTube In-Stream;Jan-Mar 25;Maximum CPV;Consideration;McDonald's | YouTube In-Stream | 65+ | All | Jan-Mar 25 | Maximum CPV | Consideration
McDonald's_Coffee_I_March_2025 (YT) - CPV;McDonald's EUR;22324505909;17,803;46;0.26%;2.88;1.11;8,486;0.01;51.19;23.84;0.24%;2.15;51.19;Skippable in-stream;Croatia;1;True;21;Available;True;14;Available;10 Mar 2025;30 Mar 2025;17473;Q1;51.19;Maximum CPV;65+ | All;McDonald's;YouTube In-Stream;Mar 25;Maximum CPV;Consideration;McDonald's | YouTube In-Stream | 65+ | All | Mar 25 | Maximum CPV | Consideration
McDonald's Snack Menu App Exclusive Oct - Dec 2025 (YT) - CPV;McDonald's EUR;23084947105;976,734;694;0.07%;2.56;3.6;652,024;0.0;2500.99;347.59;0.05%;7.2;2500.99;Skippable in-stream;Croatia;1;True;21;Available;True;19;Available;6 Oct 2025;30 Dec 2025;444972;Q4;2500.99;Target CPV;65+ | All;McDonald's;YouTube In-Stream;Oct-Dec 25;tCPV;Consideration;McDonald's | YouTube In-Stream | 65+ | All | Oct-Dec 25 | tCPV | Consideration
McDonald's Srijeda koja vrijedi više Oct - Dec 2025 (YT) - Bumper;McDonald's EUR;23150230785;1,833,561;716;0.04%;0.78;1.99;12,275;0.03;1421.4;173.35;1.13%;8.2;1421.4;Bumper, In-feed;Croatia;1;True;21;Available;True;19;Available;20 Oct 2025;28 Dec 2025;700437;Q4;1421.4;Target CPM;65+ | All;McDonald's;YouTube Bumper;Oct-Dec 25;tCPM;Awareness;McDonald's | YouTube Bumper | 65+ | All | Oct-Dec 25 | tCPM | Awareness
Zott Protein Sep - Oct 2025 (YT) - TrueView - CPV;Zott EUR;23008688560;2,193,473;1,666;0.08%;2.28;3.0;1,116,160;0.0;5000.88;0;0.00%;0.0;5000.88;In-feed, Shorts, Skippable in-stream;Croatia;1;True;21;Available;True;10;Available;10 Sept 2025;16 Nov 2025;420142;Q3, Q4;5000.88;Target CPV;65+ | All;Zott;YouTube In-Stream;Sep-Nov 25;tCPV;Consideration;Zott | YouTube In-Stream | 65+ | All | Sep-Nov 25 | tCPV | Consideration
McDonald's 1+1 Apr-May 2025 (YT) - CPV;McDonald's EUR;22485305991;1,448,890;1,573;0.11%;3.45;3.18;951,215;0.01;4999.71;1,446.64;0.14%;3.46;4999.71;Skippable in-stream;Croatia;1;True;21;Available;True;19;Available;28 Apr 2025;25 May 2025;617694;Q2;4999.71;Maximum CPV;65+ | All;McDonald's;YouTube In-Stream;Apr-May 25;Maximum CPV;Consideration;McDonald's | YouTube In-Stream | 65+ | All | Apr-May 25 | Maximum CPV | Consideration
McDonald's Breakfast AO Jan - Mar 2025 (YT) - Bumper;McDonald's EUR;22099244537;1,485,081;725;0.05%;0.67;1.38;8,344;0.01;999.88;299.14;3.30%;3.34;999.88;Bumper, In-feed;Croatia;1;True;21;Available;True;16;Available;6 Jan 2025;31 Mar 2025;691355;Q1;999.88;Target CPM;65+ | All;McDonald's;YouTube Bumper;Jan-Mar 25;tCPM;Awareness;McDonald's | YouTube Bumper | 65+ | All | Jan-Mar 25 | tCPM | Awareness
McDonald's McDelivery Wolt II November 2025 (YT) - CPV;McDonald's EUR;23246559597;389,052;877;0.23%;4.62;2.05;204,894;0.01;1799.16;551.66;0.23%;3.26;1799.16;Skippable in-stream;Croatia;1;True;21;Available;True;6;Available;11 Nov 2025;25 Nov 2025;169343;Q4;1799.16;Target CPV;65+ | All;McDonald's;YouTube In-Stream;Nov 25;tCPV;Consideration;McDonald's | YouTube In-Stream | 65+ | All | Nov 25 | tCPV | Consideration
McDonald's_Triple cheeseburger_March_2025  (YT) - CPV;McDonald's EUR;22328128277;16,911;29;0.17%;2.81;1.64;10,365;0.0;47.53;17.13;0.15%;2.78;47.53;Skippable in-stream;Croatia;1;True;21;Available;True;17;Available;11 Mar 2025;25 Mar 2025;16060;Q1;47.53;Maximum CPV;65+ | All;McDonald's;YouTube In-Stream;Mar 25;Maximum CPV;Consideration;McDonald's | YouTube In-Stream | 65+ | All | Mar 25 | Maximum CPV | Consideration
McDonald's Coffee Monday AO May - Jun 2025 (YT) - CPV;McDonald's EUR;22615794446;709,548;1,218;0.17%;3.52;2.05;405,649;0.01;2499.22;1,001.08;0.22%;2.5;2499.22;Skippable in-stream;Croatia;1;True;21;Available;True;14;Available;29 May 2025;22 Jun 2025;413654;Q2;2499.22;Maximum CPV;65+ | All;McDonald's;YouTube In-Stream;May-Jun 25;Maximum CPV;Consideration;McDonald's | YouTube In-Stream | 65+ | All | May-Jun 25 | Maximum CPV | Consideration
meralys_january_2025_youtube_cpm;JGL Croatia EUR;22143110130;3,570,139;8,766;0.25%;1.61;0.65;922,976;0.01;5741.17;0;0.00%;0.0;5741.17;Skippable in-stream;Croatia;1;True;21;Available;True;14;Available;21 Jan 2025;28 Feb 2025;1207621;Q1;5741.17;Target CPM;65+ | All;JGL;YouTube In-Stream;Jan-Feb 25;tCPM;Awareness;JGL | YouTube In-Stream | 65+ | All | Jan-Feb 25 | tCPM | Awareness
VID_OMD_HR-HR_MCC_MCC_MCCUnd_MCCUndivided_NA_GOO_BRD_Avent_YT_7.11.-30.11.2025;Philips Hrvatska EUR;23237552771;1,469,275;1,039;0.07%;1.09;1.54;65,813;0.01;1598.84;4;0.01%;399.71;1598.84;Bumper, In-feed, Shorts, Skippable in-stream;Croatia;1;True;21;Available;True;18;Available;7 Nov 2025;31 Dec 2025;490211;Q4;1598.84;Target CPM;65+ | All;Philips;YouTube In-Stream;Nov-Dec 25;tCPM;Awareness;Philips | YouTube In-Stream | 65+ | All | Nov-Dec 25 | tCPM | Awareness
VID_OMD_HR-HR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_Curler 15.04.-15.06.2025._2;Philips Hrvatska EUR;22445866454;414,082;522;0.13%;1.95;1.55;389,571;0.0;806.94;79.07;0.02%;10.21;806.94;In-feed, Skippable in-stream;Croatia;1;True;21;Available;True;9;Available;15 Apr 2025;15 Jun 2025;90892;Q2;806.94;Target CPV;65+ | All;Philips;YouTube In-Stream;Apr-Jun 25;tCPV;Consideration;Philips | YouTube In-Stream | 65+ | All | Apr-Jun 25 | tCPV | Consideration
McDonald's Employer Image IV Nov - Dec 2025 (Demand Gen) - CPC;McDonald's EUR;23279927975;3,994,013;59,060;1.48%;0.5;0.03;24,219;0.02;1999.05;24,941.00;25.11%;0.08;1999.05;Non-YouTube Format;Croatia;1;True;21;Available;True;16;Available;24 Nov 2025;14 Dec 2025;598803;Q4;1999.05;Maximise clicks;65+ | All;McDonald's;Demand Gen;Nov-Dec 25;MaxClicks;Consideration;McDonald's | Demand Gen | 65+ | All | Nov-Dec 25 | MaxClicks | Consideration
VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_Teens_1.5.-15.6.;Philips Hrvatska EUR;22489151010;1,039,006;1,366;0.13%;1.16;0.88;34,454;0.01;1200.84;5;0.01%;240.17;1200.84;Bumper, In-feed, Shorts, Skippable in-stream;Croatia;1;True;21;Available;True;12;Available;1 May 2025;15 Jun 2025;225741;Q2;1200.84;Target CPM;65+ | All;Philips;YouTube In-Stream;May-Jun 25;tCPM;Awareness;Philips | YouTube In-Stream | 65+ | All | May-Jun 25 | tCPM | Awareness
McDonald's Snack Menu Sep - Oct 2025 (YT) - Bumper;McDonald's EUR;22994092464;3,041,446;1,782;0.06%;0.82;1.4;15,230;0.03;2499.66;62.74;0.33%;39.84;2499.66;Bumper, In-feed;Croatia;1;True;21;Available;True;17;Available;9 Sept 2025;12 Oct 2025;903015;Q3, Q4;2499.66;Target CPM;65+ | All;McDonald's;YouTube Bumper;Sep-Oct 25;tCPM;Awareness;McDonald's | YouTube Bumper | 65+ | All | Sep-Oct 25 | tCPM | Awareness
McDonald's Grimace May - July 2025 (YT) - CPV;McDonald's EUR;22728306162;1,232,277;1,746;0.14%;3.08;2.18;738,853;0.01;3800.92;919.34;0.11%;4.13;3800.92;Skippable in-stream;Croatia;1;True;21;Available;True;17;Available;30 Jun 2025;6 Jul 2025;457169;Q2, Q3;3800.92;Maximum CPV;65+ | All;McDonald's;YouTube In-Stream;Jun-Jul 25;Maximum CPV;Consideration;McDonald's | YouTube In-Stream | 65+ | All | Jun-Jul 25 | Maximum CPV | Consideration
McDonald's Maestro I Feb-Mar 2025 (YT) - CPV;McDonald's EUR;22221082960;1,515,311;1,351;0.09%;2.74;3.07;929,473;0.0;4146.05;1,581.17;0.15%;2.62;4146.05;Skippable in-stream;Croatia;1;True;21;Available;True;19;Available;10 Feb 2025;24 Mar 2025;609014;Q1;4146.05;Maximum CPV;65+ | All;McDonald's;YouTube In-Stream;Feb-Mar 25;Maximum CPV;Consideration;McDonald's | YouTube In-Stream | 65+ | All | Feb-Mar 25 | Maximum CPV | Consideration
McDonald's McDelivery x Glovo III Dec 2025 (YT) - Bumper;McDonald's EUR;23359818609;576,475;631;0.11%;1.73;1.58;373;0.04;998.56;195.83;18.46%;5.1;998.56;Bumper, In-feed;Croatia;1;True;21;Available;True;19;Available;15 Dec 2025;21 Dec 2025;477604;Q4;998.56;Target CPM;65+ | All;McDonald's;YouTube Bumper;Dec 25;tCPM;Awareness;McDonald's | YouTube Bumper | 65+ | All | Dec 25 | tCPM | Awareness
Nissan All range Feb 2025 (DN) - CPM;Nissan Hrvatska EUR;22176891264;17,884,010;11,698;0.07%;0.21;0.32;0;0.0;3799.3;29.6;0.25%;128.36;3799.3;Non-YouTube Format;Croatia;1;True;21;Available;True;22;Available;1 Feb 2025;5 Mar 2025;1644191;Q1;3799.3;Viewable CPM;65+ | All;Nissan;Other;Feb-Mar 25;vCPM;Awareness;Nissan | Other | 65+ | All | Feb-Mar 25 | vCPM | Awareness
McDonald's McDelivery x Glovo II Prime Oct 2025 (YT) - CPV;McDonald's EUR;23151653998;488,638;540;0.11%;3.68;3.33;326,839;0.01;1797.77;91.84;0.03%;19.57;1797.77;Skippable in-stream;Croatia;1;True;21;Available;True;19;Available;17 Oct 2025;26 Oct 2025;333210;Q4;1797.77;Target CPV;65+ | All;McDonald's;YouTube In-Stream;Oct 25;tCPV;Consideration;McDonald's | YouTube In-Stream | 65+ | All | Oct 25 | tCPV | Consideration
lactogyn_june_2025_display_cpm;JGL Croatia EUR;22791210171;14,904,961;8,735;0.06%;0.21;0.36;0;0.0;3156.98;44.01;0.50%;71.74;3156.98;Non-YouTube Format;Croatia;1;True;21;Available;True;1;Available;15 Jul 2025;30 Sept 2025;1277504;Q3;3156.98;Viewable CPM;65+ | All;JGL;Display;Jul-Sep 25;vCPM;Awareness;JGL | Display | 65+ | All | Jul-Sep 25 | vCPM | Awareness
McDonald's 1+1 Apr-May 2025 (YT) - Bumper;McDonald's EUR;22491848552;3,233,265;2,210;0.07%;0.77;1.13;15,004;0.02;2500.09;1,019.32;5.09%;2.45;2500.09;Bumper, In-feed;Croatia;1;True;21;Available;True;19;Available;28 Apr 2025;25 May 2025;1092804;Q2;2500.09;Target CPM;65+ | All;McDonald's;YouTube Bumper;Apr-May 25;tCPM;Awareness;McDonald's | YouTube Bumper | 65+ | All | Apr-May 25 | tCPM | Awareness
McDonald's McDelivery Wolt Apr - May 2025 (YT) - Bumper;McDonald's EUR;22452503269;710,641;532;0.07%;1.13;1.5;6,659;0.02;800.01;259.29;3.13%;3.09;800.01;Bumper, In-feed;Croatia;1;True;21;Available;True;19;Available;17 Apr 2025;1 May 2025;501909;Q2;800.01;Target CPM;65+ | All;McDonald's;YouTube Bumper;Apr-May 25;tCPM;Awareness;McDonald's | YouTube Bumper | 65+ | All | Apr-May 25 | tCPM | Awareness
DG_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_CRM_Newsletter_27.5.-16.6.2025.;Philips Hrvatska EUR;22605732707;2,435,186;33,348;1.37%;0.51;0.04;0;0.0;1249.65;0;0.00%;0.0;1249.65;Non-YouTube Format;Croatia;1;True;21;Available;True;10;Available;27 May 2025;16 Jun 2025;259470;Q2;1249.65;Maximise clicks;65+ | All;Philips;Other;May-Jun 25;MaxClicks;Consideration;Philips | Other | 65+ | All | May-Jun 25 | MaxClicks | Consideration
McDonald's MOP Sep - Nov 2025 (YT) - CPV;McDonald's EUR;23038260706;694,830;610;0.09%;3.17;3.61;474,069;0.0;2200.97;214.51;0.04%;10.26;2200.97;Skippable in-stream;Croatia;1;True;21;Available;True;23;Available;19 Sept 2025;30 Nov 2025;291021;Q3, Q4;2200.97;Target CPV;65+ | All;McDonald's;YouTube In-Stream;Sep-Nov 25;tCPV;Consideration;McDonald's | YouTube In-Stream | 65+ | All | Sep-Nov 25 | tCPV | Consideration
McDonald's McDelivery AO Sep - Oct 2025 (YT) - Bumper;McDonald's EUR;23061820288;909,091;525;0.06%;1.1;1.91;6,924;0.03;1000.2;14.01;0.16%;71.41;1000.2;Bumper, In-feed;Croatia;1;True;21;Available;True;19;Available;29 Sept 2025;31 Oct 2025;544820;Q3, Q4;1000.2;Target CPM;65+ | All;McDonald's;YouTube Bumper;Sep-Oct 25;tCPM;Awareness;McDonald's | YouTube Bumper | 65+ | All | Sep-Oct 25 | tCPM | Awareness
Zott Monte May - Jul 2025 (YT) - TrueView - CPV;Zott EUR;22548433632;2,734,265;7,178;0.26%;2.47;0.94;1,366,472;0.0;6750.37;0;0.00%;0.0;6750.37;In-feed, Shorts, Skippable in-stream;Croatia;1;True;21;Available;True;11;Available;14 May 2025;31 Jul 2025;434436;Q2, Q3;6750.37;Target CPV;65+ | All;Zott;YouTube In-Stream;May-Jul 25;tCPV;Consideration;Zott | YouTube In-Stream | 65+ | All | May-Jul 25 | tCPV | Consideration
McDonald's Dessert III Lotus Biscoff Oct - Nove 2025 (YT) - Bumper;McDonald's EUR;23084523094;826,862;326;0.04%;0.69;1.76;6,691;0.03;574.19;34.22;0.42%;16.78;574.19;Bumper, In-feed;Croatia;1;True;21;Available;True;17;Available;6 Oct 2025;16 Nov 2025;483659;Q4;574.19;Target CPM;65+ | All;McDonald's;YouTube Bumper;Oct-Nov 25;tCPM;Awareness;McDonald's | YouTube Bumper | 65+ | All | Oct-Nov 25 | tCPM | Awareness
McDonald's Breakfast AO Sep - Dec 2025 (YT) - Bumper;McDonald's EUR;23051177880;1,306,321;917;0.07%;1.15;1.64;9,777;0.03;1499.98;188.51;1.53%;7.96;1499.98;Bumper, In-feed;Croatia;1;True;21;Available;True;16;Available;29 Sept 2025;30 Dec 2025;623731;Q3, Q4;1499.98;Target CPM;65+ | All;McDonald's;YouTube Bumper;Sep-Dec 25;tCPM;Awareness;McDonald's | YouTube Bumper | 65+ | All | Sep-Dec 25 | tCPM | Awareness
McDonald's Fries December 2025 (YT) - Bumper;McDonald's EUR;23305942254;1,545,576;1,166;0.08%;1.29;1.71;6,080;0.03;1999.65;287.12;3.49%;6.96;1999.65;Bumper, In-feed;Croatia;1;True;21;Available;True;17;Available;1 Dec 2025;28 Dec 2025;784771;Q4;1999.65;Target CPM;65+ | All;McDonald's;YouTube Bumper;Dec 25;tCPM;Awareness;McDonald's | YouTube Bumper | 65+ | All | Dec 25 | tCPM | Awareness
VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_Parents_5.9.-15.10.2025.;Philips Hrvatska EUR;22980662127;728,531;1,239;0.17%;1.23;0.73;112,437;0.01;898.71;4.15;0.00%;216.37;898.71;In-feed, Skippable in-stream;Croatia;1;True;21;Available;True;8;Available;5 Sept 2025;15 Oct 2025;241823;Q3, Q4;898.71;Target CPM;65+ | All;Philips;YouTube In-Stream;Sep-Oct 25;tCPM;Awareness;Philips | YouTube In-Stream | 65+ | All | Sep-Oct 25 | tCPM | Awareness
DG_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 16.6.-20.8.2025.;Philips Hrvatska EUR;22679748705;4,776,017;83,495;1.75%;0.39;0.02;0;0.0;1850.01;1,221.37;1.46%;1.51;1850.01;Non-YouTube Format;Croatia;1;True;21;Available;True;17;Available;17 Jun 2025;20 Aug 2025;608709;Q2, Q3;1850.01;Maximise clicks;65+ | All;Philips;Other;Jun-Aug 25;MaxClicks;Consideration;Philips | Other | 65+ | All | Jun-Aug 25 | MaxClicks | Consideration
McDonald's 1+1 January 2025 (YT) - Bumper;McDonald's EUR;22101432671;1,715,853;903;0.05%;0.58;1.11;10,919;0.01;999.63;238.53;2.02%;4.19;999.63;Bumper, In-feed;Croatia;1;True;21;Available;True;19;Available;7 Jan 2025;31 Jan 2025;860019;Q1;999.63;Target CPM;65+ | All;McDonald's;YouTube Bumper;Jan 25;tCPM;Awareness;McDonald's | YouTube Bumper | 65+ | All | Jan 25 | tCPM | Awareness
JGL Muzej farmacije HR Jul - Aug 2025 (DG) - CPC;JGL Croatia EUR;22738795586;487,061;11,740;2.41%;0.5;0.02;0;0.0;245.08;5.03;0.04%;48.76;245.08;Non-YouTube Format;Croatia;1;True;21;Available;True;18;Available;1 Jul 2025;31 Aug 2025;182172;Q3;245.08;Maximise clicks;65+ | All;JGL;Demand Gen;Jul-Aug 25;MaxClicks;Consideration;JGL | Demand Gen | 65+ | All | Jul-Aug 25 | MaxClicks | Consideration
McDonald's Employer Image II May - June 2025 Demand Gen - CPA;McDonald's EUR;22575094499;3,592,915;57,049;1.59%;0.47;0.03;8,621;0.07;1700.94;26,768.88;26.26%;0.06;1700.94;Non-YouTube Format;Croatia;1;True;21;Available;True;16;Available;19 May 2025;15 Jun 2025;631394;Q2;1700.94;Maximise clicks;65+ | All;McDonald's;Demand Gen;May-Jun 25;MaxClicks;Consideration;McDonald's | Demand Gen | 65+ | All | May-Jun 25 | MaxClicks | Consideration
McDonald's McNuggets II July - August 2025 - CPV;McDonald's EUR;22818941470;1,176,806;1,080;0.09%;1.7;1.85;557,642;0.0;2001.48;472.48;0.07%;4.24;2001.48;In-feed, Shorts, Skippable in-stream;Croatia;1;True;21;Available;True;17;Available;21 Jul 2025;10 Aug 2025;590615;Q3;2001.48;Target CPV;65+ | All;McDonald's;YouTube In-Stream;Jul-Aug 25;tCPV;Consideration;McDonald's | YouTube In-Stream | 65+ | All | Jul-Aug 25 | tCPV | Consideration
McDonald's McDelivery May - June AO 2025 (YT) - Bumper;McDonald's EUR;22503142066;923,272;616;0.07%;1.08;1.62;8,453;0.02;1000.69;30.6;0.29%;32.7;1000.69;Bumper, In-feed;Croatia;1;True;21;Available;True;19;Available;5 May 2025;30 Jun 2025;563265;Q2;1000.69;Target CPM;65+ | All;McDonald's;YouTube Bumper;May-Jun 25;tCPM;Awareness;McDonald's | YouTube Bumper | 65+ | All | May-Jun 25 | tCPM | Awareness
McDonald's Snack Menu Sep - Oct 2025 (YT) - CPV;McDonald's EUR;23000376953;1,159,811;1,229;0.11%;3.02;2.85;770,090;0.0;3499.62;593.15;0.07%;5.9;3499.62;Skippable in-stream;Croatia;1;True;21;Available;True;20;Available;9 Sept 2025;12 Oct 2025;412490;Q3, Q4;3499.62;Target CPV;65+ | All;McDonald's;YouTube In-Stream;Sep-Oct 25;tCPV;Consideration;McDonald's | YouTube In-Stream | 65+ | All | Sep-Oct 25 | tCPV | Consideration
PMAX_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_AO_Lumea;Philips Hrvatska EUR;23035354024;293,370;3,757;1.28%;5.29;0.41;69,469;0.01;1552.04;345.81;0.45%;4.49;1552.04;Non-YouTube Format;Croatia;1;False;0;Automatic / PMax;False;0;Automatic / PMax;18 Sept 2025;31 Dec 2025;0;Q3, Q4;1552.04;Maximise Conversions;Auto | All;Philips;PMax;Sep-Dec 25;MaxConv;Action;Philips | PMax | Auto | All | Sep-Dec 25 | MaxConv | Action
Zott Protein Sep - Oct 2025 (YT) - Bumper - CPM;Zott EUR;23008688854;1,643,971;1,789;0.11%;1.22;1.12;7,305;0.02;2000.6;0;0.00%;0.0;2000.6;Bumper, Shorts;Croatia;1;True;21;Available;True;12;Available;10 Sept 2025;16 Nov 2025;477133;Q3, Q4;2000.6;Target CPM;65+ | All;Zott;YouTube Bumper;Sep-Nov 25;tCPM;Awareness;Zott | YouTube Bumper | 65+ | All | Sep-Nov 25 | tCPM | Awareness
Zott Hungry Oct - Nov 2025 (YT) - Reach Mix;Zott EUR;23053538297;3,454,309;4,490;0.13%;1.91;1.47;378,916;0.01;6584.05;0;0.00%;0.0;6584.05;Bumper, Skippable in-stream;Croatia;1;True;21;Available;True;11;Available;1 Oct 2025;30 Nov 2025;965252;Q4;6584.05;Target CPM;65+ | All;Zott;YouTube In-Stream;Oct-Nov 25;tCPM;Awareness;Zott | YouTube In-Stream | 65+ | All | Oct-Nov 25 | tCPM | Awareness
VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_10.10.-30.11.;Philips Hrvatska EUR;23140105375;2,124,544;1,350;0.06%;0.92;1.46;99,614;0.01;1964.9;8.27;0.01%;237.66;1964.9;Bumper, In-feed, Shorts, Skippable in-stream;Croatia;1;True;21;Available;True;9;Available;15 Oct 2025;30 Nov 2025;660219;Q4;1964.9;Target CPM;65+ | All;Philips;YouTube In-Stream;Oct-Nov 25;tCPM;Awareness;Philips | YouTube In-Stream | 65+ | All | Oct-Nov 25 | tCPM | Awareness
DG_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.05.-30.06.2025;Philips Hrvatska EUR;22545560319;3,433,455;55,786;1.62%;0.48;0.03;0;0.0;1650.02;596.48;1.07%;2.77;1650.02;Non-YouTube Format;Croatia;1;True;21;Available;True;6;Available;15 May 2025;30 Jun 2025;645266;Q2;1650.02;Maximise clicks;65+ | All;Philips;Other;May-Jun 25;MaxClicks;Consideration;Philips | Other | 65+ | All | May-Jun 25 | MaxClicks | Consideration
McDonald's Employer Image III - Young Adults - Aug - Sep 2025 (VVC) - CPV;McDonald's EUR;22931314702;1,111,693;4,840;0.44%;3.15;0.72;392,929;0.01;3497.32;1,478.60;0.30%;2.37;3497.32;Shorts, Skippable in-stream;Croatia;1;True;21;Available;True;6;Available;25 Aug 2025;14 Sept 2025;327549;Q3;3497.32;Target CPV;65+ | All;McDonald's;YouTube In-Stream;Aug-Sep 25;tCPV;Consideration;McDonald's | YouTube In-Stream | 65+ | All | Aug-Sep 25 | tCPV | Consideration
DG_OMD_HR-HR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_DG_1.11.-31.12.2025.;Philips Hrvatska EUR;23232127389;429,654;17,532;4.08%;5.08;0.12;0;0.0;2182.94;56.92;0.32%;38.35;2182.94;Non-YouTube Format;Croatia;1;True;21;Available;True;13;Available;7 Nov 2025;31 Dec 2025;138110;Q4;2182.94;Maximise clicks;65+ | All;Philips;Other;Nov-Dec 25;MaxClicks;Consideration;Philips | Other | 65+ | All | Nov-Dec 25 | MaxClicks | Consideration
McDonald's Employer Image III Aug - Sep 2025 (Performance Max) - CPA;McDonald's EUR;22927005302;2,772,854;23,668;0.85%;1.07;0.13;48,786;0.01;2978.72;642.86;0.72%;4.63;2978.72;Non-YouTube Format;Croatia;1;False;0;Automatic / PMax;False;0;Automatic / PMax;25 Aug 2025;14 Sept 2025;0;Q3;2978.72;Maximise Conversions;Auto | All;McDonald's;PMax;Aug-Sep 25;MaxConv;Action;McDonald's | PMax | Auto | All | Aug-Sep 25 | MaxConv | Action
McDonald's Trust I May 2025 (YT) - Bumper;McDonald's EUR;22518745594;1,964,313;1,330;0.07%;0.76;1.13;8,603;0.02;1499.95;541.06;4.66%;2.77;1499.95;Bumper, In-feed;Croatia;1;True;21;Available;True;19;Available;5 May 2025;25 May 2025;840732;Q2;1499.95;Target CPM;65+ | All;McDonald's;YouTube Bumper;May 25;tCPM;Awareness;McDonald's | YouTube Bumper | 65+ | All | May 25 | tCPM | Awareness
McDonald's McNuggets III Oct - Nov 2025 (YT) - CPV;McDonald's EUR;23128434905;552,533;555;0.10%;3.62;3.6;379,846;0.01;1999.14;108.93;0.03%;18.35;1999.14;Skippable in-stream;Croatia;1;True;21;Available;True;17;Available;14 Oct 2025;2 Nov 2025;352852;Q4;1999.14;Target CPV;65+ | All;McDonald's;YouTube In-Stream;Oct-Nov 25;tCPV;Consideration;McDonald's | YouTube In-Stream | 65+ | All | Oct-Nov 25 | tCPV | Consideration
fungilac_march_2025_display_cpm;JGL Croatia EUR;22391274867;16,641,511;8,143;0.05%;0.18;0.36;0;0.0;2966.5;4;0.05%;741.63;2966.5;Non-YouTube Format;Croatia;1;True;21;Available;True;14;Available;1 Apr 2025;30 Jul 2025;1182585;Q2, Q3;2966.5;Viewable CPM;65+ | All;JGL;Display;Apr-Jul 25;vCPM;Awareness;JGL | Display | 65+ | All | Apr-Jul 25 | vCPM | Awareness
